GEOID10,Sector,date,emissions
02683,Total,2015-01-01,1458.8380737417885
02683,Total,2015-01-02,1788.375873058975
02683,Total,2015-01-03,1416.5350387425308
02683,Total,2015-01-04,1033.5110887271367
02683,Total,2015-01-05,1524.9530079824888
02683,Total,2015-01-06,1617.502353862958
02683,Total,2015-01-07,1662.607369600472
02683,Total,2015-01-08,1468.9546344655582
02683,Total,2015-01-09,1893.705600290584
02683,Total,2015-01-10,1158.5295744894145
02683,Total,2015-01-11,983.2331200864556
02683,Total,2015-01-12,1124.3611711735402
02683,Total,2015-01-13,1643.409201312132
02683,Total,2015-01-14,1557.181298178602
02683,Total,2015-01-15,1494.1265298915423
02683,Total,2015-01-16,1258.4092191752381
02683,Total,2015-01-17,1021.5518351235324
02683,Total,2015-01-18,825.4345311055208
02683,Total,2015-01-19,1371.5647925221508
02683,Total,2015-01-20,1491.1311982162642
02683,Total,2015-01-21,1407.6607693412743
02683,Total,2015-01-22,1317.0130774610886
02683,Total,2015-01-23,1435.696934450952
02683,Total,2015-01-24,1135.5947369583805
02683,Total,2015-01-25,1171.3603134027835
02683,Total,2015-01-26,1431.6073282005814
02683,Total,2015-01-27,1673.1251484090026
02683,Total,2015-01-28,1614.115790202972
02683,Total,2015-01-29,1546.8267267039785
02683,Total,2015-01-30,1375.1872515810996
02683,Total,2015-01-31,1224.574971397024
02683,Total,2015-02-01,1059.4475806633875
02683,Total,2015-02-02,1300.1547557593335
02683,Total,2015-02-03,1330.998568060653
02683,Total,2015-02-04,1311.8359757397998
02683,Total,2015-02-05,1239.6699767106834
02683,Total,2015-02-06,1435.4414827557905
02683,Total,2015-02-07,1139.3497265274366
02683,Total,2015-02-08,1094.6393902713962
02683,Total,2015-02-09,1375.7811950545984
02683,Total,2015-02-10,1296.3329794995325
02683,Total,2015-02-11,1149.2226727684579
02683,Total,2015-02-12,1240.8699556001493
02683,Total,2015-02-13,1568.5201975905516
02683,Total,2015-02-14,1365.3559931033515
02683,Total,2015-02-15,994.9850712148838
02683,Total,2015-02-16,1133.5987227872608
02683,Total,2015-02-17,1386.1937192070611
02683,Total,2015-02-18,1246.1744934305807
02683,Total,2015-02-19,1190.5648931197286
02683,Total,2015-02-20,1177.2343211415528
02683,Total,2015-02-21,1014.0530384022577
02683,Total,2015-02-22,812.0142086680481
02683,Total,2015-02-23,1044.0534820551918
02683,Total,2015-02-24,1124.0136938222904
02683,Total,2015-02-25,1140.4936158268652
02683,Total,2015-02-26,1131.0149277294274
02683,Total,2015-02-27,1112.799826525522
02683,Total,2015-02-28,1062.457103563622
02683,Total,2015-03-01,970.8945544416299
02683,Total,2015-03-02,1167.2945798881938
02683,Total,2015-03-03,1172.1765389960135
02683,Total,2015-03-04,1159.5918397556372
02683,Total,2015-03-05,1507.5268545250146
02683,Total,2015-03-06,1364.9754124770461
02683,Total,2015-03-07,1091.900794785873
02683,Total,2015-03-08,959.3493979924808
02683,Total,2015-03-09,1404.401103800951
02683,Total,2015-03-10,1401.8967835872436
02683,Total,2015-03-11,1264.490116433538
02683,Total,2015-03-12,1395.6902789048568
02683,Total,2015-03-13,1450.4290915741365
02683,Total,2015-03-14,1083.3075473206536
02683,Total,2015-03-15,1045.5027694640294
02683,Total,2015-03-16,1408.3840321712566
02683,Total,2015-03-17,1361.3389402654354
02683,Total,2015-03-18,1409.4811648122227
02683,Total,2015-03-19,1552.3809386336127
02683,Total,2015-03-20,1427.260145032912
02683,Total,2015-03-21,1222.4123527895572
02683,Total,2015-03-22,969.7935077801584
02683,Total,2015-03-23,1045.0531168816142
02683,Total,2015-03-24,1043.8063064711957
02683,Total,2015-03-25,948.7845184261612
02683,Total,2015-03-26,934.7821904696704
02683,Total,2015-03-27,954.9855449562848
02683,Total,2015-03-28,777.372085859858
02683,Total,2015-03-29,695.6810433273363
02683,Total,2015-03-30,973.8716732314826
02683,Total,2015-03-31,1016.0382799809164
02683,Total,2015-04-01,1021.3437715048954
02683,Total,2015-04-02,951.2405904015684
02683,Total,2015-04-03,996.8247730782492
02683,Total,2015-04-04,820.8786918565154
02683,Total,2015-04-05,701.677632925096
02683,Total,2015-04-06,892.2913118485504
02683,Total,2015-04-07,936.1188521348973
02683,Total,2015-04-08,941.2834876960616
02683,Total,2015-04-09,961.1507642497052
02683,Total,2015-04-10,988.062443349703
02683,Total,2015-04-11,873.8290773704163
02683,Total,2015-04-12,833.3694859786981
02683,Total,2015-04-13,1031.965282056104
02683,Total,2015-04-14,1009.7206205805368
02683,Total,2015-04-15,973.2103725852401
02683,Total,2015-04-16,1003.8912796878546
02683,Total,2015-04-17,957.6213892491963
02683,Total,2015-04-18,767.9556614064483
02683,Total,2015-04-19,685.2083518439082
02683,Total,2015-04-20,903.9832273116673
02683,Total,2015-04-21,945.9599384730792
02683,Total,2015-04-22,980.42991702366
02683,Total,2015-04-23,1057.1743528118743
02683,Total,2015-04-24,1036.602201120652
02683,Total,2015-04-25,891.2815725489868
02683,Total,2015-04-26,722.1965866895499
02683,Total,2015-04-27,874.2647737775854
02683,Total,2015-04-28,901.3909925403026
02683,Total,2015-04-29,892.7550694223329
02683,Total,2015-04-30,906.2469211384167
02683,Total,2015-05-01,929.015811834802
02683,Total,2015-05-02,745.0746507955442
02683,Total,2015-05-03,658.70760666155
02683,Total,2015-05-04,857.3870777492674
02683,Total,2015-05-05,892.6280783959583
02683,Total,2015-05-06,897.4883497495099
02683,Total,2015-05-07,896.6086013031115
02683,Total,2015-05-08,930.203923766671
02683,Total,2015-05-09,745.593000744503
02683,Total,2015-05-10,644.8872520425138
02683,Total,2015-05-11,852.8069584846576
02683,Total,2015-05-12,894.5319859239357
02683,Total,2015-05-13,906.336880953054
02683,Total,2015-05-14,916.2829728935498
02683,Total,2015-05-15,944.9813473485568
02683,Total,2015-05-16,763.9136346683304
02683,Total,2015-05-17,672.2868826467095
02683,Total,2015-05-18,877.3951241180079
02683,Total,2015-05-19,901.0567224017058
02683,Total,2015-05-20,901.2961456238936
02683,Total,2015-05-21,924.8341315442444
02683,Total,2015-05-22,952.3838962246367
02683,Total,2015-05-23,755.8619140748102
02683,Total,2015-05-24,663.5224144657946
02683,Total,2015-05-25,713.636640635296
02683,Total,2015-05-26,914.4210528404599
02683,Total,2015-05-27,904.8279826555847
02683,Total,2015-05-28,926.4429330441193
02683,Total,2015-05-29,948.0858695351177
02683,Total,2015-05-30,750.6927229972722
02683,Total,2015-05-31,662.8504696493483
02683,Total,2015-06-01,863.2208261646663
02683,Total,2015-06-02,911.6474438713393
02683,Total,2015-06-03,920.8357602638698
02683,Total,2015-06-04,930.5236902099904
02683,Total,2015-06-05,949.6650985418297
02683,Total,2015-06-06,775.0738650628896
02683,Total,2015-06-07,690.9670005037277
02683,Total,2015-06-08,894.8005942235649
02683,Total,2015-06-09,925.130364099726
02683,Total,2015-06-10,934.7700411766452
02683,Total,2015-06-11,944.2892387735562
02683,Total,2015-06-12,965.7254787893717
02683,Total,2015-06-13,790.3787825548994
02683,Total,2015-06-14,706.4875535792355
02683,Total,2015-06-15,901.501282147718
02683,Total,2015-06-16,928.2093415366612
02683,Total,2015-06-17,922.9530638833853
02683,Total,2015-06-18,935.0436135694556
02683,Total,2015-06-19,954.9400116383442
02683,Total,2015-06-20,772.0317639807988
02683,Total,2015-06-21,688.3750947892858
02683,Total,2015-06-22,891.9675626358127
02683,Total,2015-06-23,917.5700921168789
02683,Total,2015-06-24,938.3098622606418
02683,Total,2015-06-25,953.1125222684017
02683,Total,2015-06-26,968.953098524716
02683,Total,2015-06-27,776.7201304870862
02683,Total,2015-06-28,682.9078995509234
02683,Total,2015-06-29,807.0141696019879
02683,Total,2015-06-30,942.9592517066808
02683,Total,2015-07-01,953.825690399649
02683,Total,2015-07-02,864.3850162493306
02683,Total,2015-07-03,935.5302313862848
02683,Total,2015-07-04,772.816475175003
02683,Total,2015-07-05,701.7559567290892
02683,Total,2015-07-06,913.6338040398005
02683,Total,2015-07-07,939.1893691195306
02683,Total,2015-07-08,947.274745694918
02683,Total,2015-07-09,959.9936049182504
02683,Total,2015-07-10,977.1309842318384
02683,Total,2015-07-11,788.7082408915478
02683,Total,2015-07-12,701.1068976404249
02683,Total,2015-07-13,911.5978831945747
02683,Total,2015-07-14,932.3699888222764
02683,Total,2015-07-15,938.9315423420034
02683,Total,2015-07-16,960.0584362403374
02683,Total,2015-07-17,979.3040880527928
02683,Total,2015-07-18,788.7374917901332
02683,Total,2015-07-19,706.6755959549074
02683,Total,2015-07-20,956.2002736453461
02683,Total,2015-07-21,941.4687234657547
02683,Total,2015-07-22,948.482584274505
02683,Total,2015-07-23,964.9514718842717
02683,Total,2015-07-24,983.6189214922124
02683,Total,2015-07-25,793.3759100252246
02683,Total,2015-07-26,709.5641614292481
02683,Total,2015-07-27,910.4423715606714
02683,Total,2015-07-28,942.807472910825
02683,Total,2015-07-29,952.6214873558321
02683,Total,2015-07-30,966.4974685970184
02683,Total,2015-07-31,965.9939914627213
02683,Total,2015-08-01,773.0509989852114
02683,Total,2015-08-02,696.4764277963857
02683,Total,2015-08-03,899.9450453043489
02683,Total,2015-08-04,932.0866834901925
02683,Total,2015-08-05,934.3312830133646
02683,Total,2015-08-06,946.870474676784
02683,Total,2015-08-07,965.089599263134
02683,Total,2015-08-08,779.276029288491
02683,Total,2015-08-09,696.0388856078066
02683,Total,2015-08-10,902.4401346923164
02683,Total,2015-08-11,928.9787701392163
02683,Total,2015-08-12,932.8052548112283
02683,Total,2015-08-13,943.8049792657913
02683,Total,2015-08-14,964.7305290336373
02683,Total,2015-08-15,776.8413653520382
02683,Total,2015-08-16,689.6112797778097
02683,Total,2015-08-17,895.0588034767187
02683,Total,2015-08-18,927.4343700622808
02683,Total,2015-08-19,924.8604491717509
02683,Total,2015-08-20,939.0660259058805
02683,Total,2015-08-21,960.8232725290933
02683,Total,2015-08-22,772.0104204093916
02683,Total,2015-08-23,695.6277568402069
02683,Total,2015-08-24,920.5750629086003
02683,Total,2015-08-25,956.246284556904
02683,Total,2015-08-26,963.1379468805884
02683,Total,2015-08-27,979.6087198223539
02683,Total,2015-08-28,1002.904990663028
02683,Total,2015-08-29,785.7471784398466
02683,Total,2015-08-30,693.7063380420333
02683,Total,2015-08-31,770.1069294010489
02683,Total,2015-09-01,967.0377866716003
02683,Total,2015-09-02,959.3669221640338
02683,Total,2015-09-03,970.1487012606343
02683,Total,2015-09-04,987.9567586973036
02683,Total,2015-09-05,768.6637794131108
02683,Total,2015-09-06,667.5332423691291
02683,Total,2015-09-07,903.8640624728245
02683,Total,2015-09-08,939.833626915024
02683,Total,2015-09-09,944.7942961325948
02683,Total,2015-09-10,955.317527802388
02683,Total,2015-09-11,975.5562425165863
02683,Total,2015-09-12,773.3112209029681
02683,Total,2015-09-13,677.7817961260914
02683,Total,2015-09-14,906.7427413146272
02683,Total,2015-09-15,939.173199519798
02683,Total,2015-09-16,945.6365838491048
02683,Total,2015-09-17,954.7123407184973
02683,Total,2015-09-18,974.9185854045869
02683,Total,2015-09-19,763.7684278203078
02683,Total,2015-09-20,658.3503558181596
02683,Total,2015-09-21,903.9548665890641
02683,Total,2015-09-22,915.9031523056057
02683,Total,2015-09-23,916.3214360631492
02683,Total,2015-09-24,923.9570286439107
02683,Total,2015-09-25,946.3890789412904
02683,Total,2015-09-26,740.083566564086
02683,Total,2015-09-27,641.0992506643022
02683,Total,2015-09-28,860.8592989122217
02683,Total,2015-09-29,903.036983455708
02683,Total,2015-09-30,900.2582206723032
02683,Total,2015-10-01,911.7521006095047
02683,Total,2015-10-02,940.3707607532813
02683,Total,2015-10-03,743.9105200883031
02683,Total,2015-10-04,655.8201889622346
02683,Total,2015-10-05,806.370419969197
02683,Total,2015-10-06,911.4133082599736
02683,Total,2015-10-07,911.205425641444
02683,Total,2015-10-08,921.9463027183734
02683,Total,2015-10-09,948.6043895015764
02683,Total,2015-10-10,768.4077396922956
02683,Total,2015-10-11,663.5903759643371
02683,Total,2015-10-12,889.5153867035699
02683,Total,2015-10-13,918.3523852068993
02683,Total,2015-10-14,930.1222726603867
02683,Total,2015-10-15,927.8994518097568
02683,Total,2015-10-16,950.2404843949524
02683,Total,2015-10-17,772.9064652879204
02683,Total,2015-10-18,680.1211513211465
02683,Total,2015-10-19,934.1007317643621
02683,Total,2015-10-20,968.3887853783881
02683,Total,2015-10-21,955.3772959640088
02683,Total,2015-10-22,984.5527549901041
02683,Total,2015-10-23,1000.0634453982857
02683,Total,2015-10-24,791.869246066586
02683,Total,2015-10-25,708.3358462894807
02683,Total,2015-10-26,1002.0934786900737
02683,Total,2015-10-27,988.1006439057837
02683,Total,2015-10-28,983.0854493593685
02683,Total,2015-10-29,981.4674135864276
02683,Total,2015-10-30,1046.5752634800251
02683,Total,2015-10-31,795.1745514767523
02683,Total,2015-11-01,683.0744670247202
02683,Total,2015-11-02,954.532678432613
02683,Total,2015-11-03,992.7054441819361
02683,Total,2015-11-04,1079.2942154498708
02683,Total,2015-11-05,1014.74012970645
02683,Total,2015-11-06,954.8209185567308
02683,Total,2015-11-07,783.8780878750956
02683,Total,2015-11-08,686.974579051863
02683,Total,2015-11-09,951.0176211341172
02683,Total,2015-11-10,1002.8673021826776
02683,Total,2015-11-11,1043.7792734311029
02683,Total,2015-11-12,1147.994650695776
02683,Total,2015-11-13,1223.9563254440786
02683,Total,2015-11-14,1000.5809363475192
02683,Total,2015-11-15,817.6148069121282
02683,Total,2015-11-16,1099.798450169907
02683,Total,2015-11-17,1293.63924683419
02683,Total,2015-11-18,1304.7952909330866
02683,Total,2015-11-19,1135.258355362911
02683,Total,2015-11-20,1188.0717312143324
02683,Total,2015-11-21,920.8588971018485
02683,Total,2015-11-22,777.0431205347741
02683,Total,2015-11-23,1103.9002828042826
02683,Total,2015-11-24,1187.7199057157718
02683,Total,2015-11-25,1192.5433191680086
02683,Total,2015-11-26,1321.8018186643974
02683,Total,2015-11-27,1350.8558830167306
02683,Total,2015-11-28,1186.131524351647
02683,Total,2015-11-29,1081.588380446647
02683,Total,2015-11-30,1517.5557506938992
02683,Total,2015-12-01,1740.4591768394253
02683,Total,2015-12-02,1287.1392220891948
02683,Total,2015-12-03,1125.7146307821893
02683,Total,2015-12-04,1149.052544971071
02683,Total,2015-12-05,957.4202981394542
02683,Total,2015-12-06,983.0347247181307
02683,Total,2015-12-07,1233.0607847143515
02683,Total,2015-12-08,1276.6159524469908
02683,Total,2015-12-09,1259.8643123021598
02683,Total,2015-12-10,1130.2430279634154
02683,Total,2015-12-11,1287.358070325154
