geoid,name,land_area,total,airport,cement,cmv,commercial,elec_prod,industrial,nonroad,onroad,rail,residential
06733,"Beloit, KS",4660471,2480,0,0,0,264,22,100,155,1135,37,763
06760,"Beloit, WI--IL",88931630,426010,13,0,0,9101,278329,33766,6930,72520,312,25036
06770,"Belterra, TX",9094835,3408,0,0,0,42,0,60,206,3045,0,52
06779,"Belton, SC",13907139,7408,0,0,0,259,0,1045,675,4814,27,586
06787,"Belvidere, NJ--PA",5798798,4645,0,0,0,896,0,318,224,1584,3,1618
06814,"Belzoni, MS",5960797,2516,0,0,0,306,0,0,145,1633,0,432
06841,"Bemidji, MN",28970238,415411,1101,0,0,4010,0,390780,1038,15776,78,2627
06868,"Bend, OR",102824264,93452,43,0,0,10644,0,12717,13266,50056,412,6310
06895,"Bennettsville, SC",21713692,10106,0,0,0,485,0,339,434,7858,37,949
06922,"Bennington, VT",19778212,21679,15,0,0,3063,0,1626,988,11385,38,4561
06949,"Benson, AZ",6505395,8204,0,0,0,793,0,0,168,6622,207,411
06976,"Benson, MN",4509415,3075,0,0,0,284,15,170,133,1791,96,583
07003,"Benson, NC",6566790,10457,0,0,0,169,0,5235,133,3851,887,179
07030,"Benton, IL",11027094,30860,14,0,0,1027,0,2977,388,23007,1385,2060
07057,"Benton, KY",11911744,12966,14,0,0,573,0,14,332,11662,0,368
07084,"Benton, LA",11703915,3849,0,0,0,167,0,394,237,2785,61,201
07111,"Benton City, WA",6291789,3552,0,0,0,45,0,0,120,3218,10,156
07138,"Benton Harbor--St. Joseph--Fair Plain, MI",120910288,161545,6424,0,0,16748,0,8884,9031,94796,1110,24549
07165,"Berea, KY",34296208,57506,0,0,0,8584,0,24176,1261,21336,939,1207
07192,"Berlin, NH",14117729,23635,0,0,0,1644,0,3343,289,15036,82,3239
07219,"Berlin, WI",6024648,6189,0,0,0,401,0,140,224,4641,0,780
07246,"Berne, IN",11777622,10322,0,0,0,511,0,1614,1017,5956,0,1222
07273,"Berrien Springs, MI",12852203,10350,0,0,0,3707,0,119,498,3947,0,2079
07300,"Berryville, AR",10331036,3696,16,0,0,142,0,0,124,3305,0,106
07327,"Berryville, VA",5127392,2650,0,0,0,132,0,117,324,1715,140,219
07354,"Bethany, MO",3968749,18760,0,0,0,145,4,6,64,18191,0,349
07381,"Bethel, AK",6205286,35971,0,0,0,0,34281,5,36,1632,0,14
07408,"Bethel, OH",4204131,5096,0,0,0,356,0,11,190,4091,0,446
07462,"Beulah, ND",3541608,2830,0,0,0,390,0,30,49,1830,23,506
07489,"Bicknell, IN",4385586,3928,0,0,0,269,0,3,111,2872,0,670
07508,"Big Bear City, CA",41856445,39002,5286,0,0,2833,131,847,7327,14604,0,7971
07543,"Big Lake, TX",2756021,1361,0,0,0,136,0,0,189,590,6,438
07597,"Big Pine Key, FL",19738088,16117,56,0,2,313,0,28,856,14807,0,52
07624,"Big Rapids, MI",24109578,28760,16,0,0,10065,0,4223,1174,9922,0,3357
07651,"Big Spring, TX",38167194,288451,7,0,0,3078,25340,216162,1515,38345,662,3338
07678,"Big Stone Gap, VA",16470251,7438,24,0,0,922,0,30,217,4881,526,835
07705,"Billings, MT",137090773,836547,14585,0,0,55146,285649,300981,14458,121988,269,43468
07732,"Binghamton, NY--PA",192017395,469520,14653,0,0,55857,4964,45275,15025,245817,2675,85252
07759,"Birch Bay, WA",32443287,17478,31,0,3,2579,0,0,882,10175,138,3667
07786,"Birmingham, AL",1372257744,2701044,31575,123988,0,146194,73090,496914,137628,1557646,13045,120959
07813,"Bisbee, AZ",8124710,5362,13,0,0,284,0,0,34,4897,0,132
07824,"Biscoe, NC",9205709,2702,0,0,0,24,0,52,70,2445,70,40
07840,"Bishop, CA",11017745,36187,0,0,0,885,0,882,261,33162,0,995
07867,"Bishop, TX",3728911,5742,0,0,0,124,0,28,152,5206,21,207
07894,"Bishopville, SC",5967255,8817,0,0,0,72,0,2603,76,6005,10,49
07921,"Bismarck, ND",99723531,663424,9267,0,0,39545,61260,415575,9797,89689,2584,35704
07948,"Blackfoot, ID",32125940,101370,0,0,0,2660,0,71457,1156,23013,789,2293
07975,"Black River Falls, WI",13975350,13006,13,0,0,708,0,59,187,11200,27,809
08002,"Blacksburg, VA",132281376,312151,2287,0,0,183105,27964,6494,9208,65771,1318,16001
08029,"Blackshear, GA",8736513,5027,0,0,0,93,0,12,87,4628,98,106
08056,"Blackstone, VA",4332324,1871,0,0,0,117,0,19,85,1291,207,149
08083,"Blackwell, OK",9123354,8421,0,0,0,791,0,1829,466,3367,0,1966
08137,"Blair, NE",10390011,15433,0,0,0,1829,0,2391,392,9143,452,1223
08164,"Blairsville, PA",15753390,15107,0,0,0,727,0,826,709,9871,104,2868
