country,1750,1751,1752,1753,1754,1755,1756,1757,1758,1759,1760,1761,1762,1763,1764,1765,1766,1767,1768,1769,1770,1771,1772,1773,1774,1775,1776,1777,1778,1779,1780,1781,1782,1783,1784,1785,1786,1787,1788,1789,1790,1791,1792,1793,1794,1795,1796,1797,1798,1799,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,121,532,1950,3260,3480,3190,2970,2850,2620,2760,2820,3070,3360,3950,4580,4610,1380,1180,1290,997,1050,1400,1060,755,1290,1310,576,1770,1590,1200,1600,1230,649,1000,1100,1270,2590,3040,3680,5520,5410,5750,6570,7470,7770,8130,7890,8530,9840,8230,9210,10.2k,11k,11.4k,12.2k,11.7k,12.4k,11.9k,10.9k,14.6k,14.8k,14.8k,15.6k,17.3k,18.4k,18k,18.8k,14.1k,15.9k,16.8k,17.9k,19.8k,19.4k,26.8k,29.7k,28.1k,29.1k,28.7k,27.3k,31.2k,31.2k,32.7k,31.5k,31.8k,31.1k
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,66,77,80.7,84.3,128,139,176,180,260,411,546,726,708,1090,1320,1090,1700,1630,1740,2570,6730,6490,7870,7390,8250,6460,9720,6600,6920,7980,2800,2260,2020,1860,1510,1410,1420,1540,1950,1840,1840,1850,1760,1750,1740,1730,1530,1910,1950,1950,1870,1930,1970,1970,1830,1780,1800,2360,1610,2390,1800,1910,2870,2350,2020,1790,1800,1810
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4810,5250,5510,5650,6290,7120,7330,7260,7330,7840,8130,10.6k,11.5k,10.7k,12.8k,12.9k,13.4k,13.9k,13.5k,15.1k,16.4k,16.1k,17.5k,16.1k,17.3k,18.3k,18.7k,19.5k,19k,19.6k,19.6k,19.5k,13.8k,15k,12.6k,3210,3410,4240,8370,10.6k,10.3k,13.7k,13.3k,14.2k,14.4k,15.5k,16.1k,17.4k,17.5k,20k,20.6k,21.2k,23.8k,22.2k,21.8k,19.3k,18.5k,21.8k,21.8k,21.7k
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.479,0.575,0.384,0.479,,,,,,,,,,,,,,,,,2.97,,,,,9.01,,,12.7,13.4,17.7,22.5,20.3,21.3,23.9,22.8,72.1,82.8,68.9,93.4,101,137,140,132,160,184,229,233,305,313,367,387,407,464,471,513,526,556,580,627,710,782,827,970,988,1130,1160,1340,1500,1740,1970,2020,1950,1910,2120,1900,2160,2420,2440,2570,2520,2620,2960,3220,2910,2670,2840,2620,1040,891,813,881,1070,1190,1410,1400,2020,2520,2790,3010,4090,4910,5540,6190,7490,8470,9720,9930,10.5k,10.6k,12.7k,11.2k,7690,9820,9200,9740,10.9k,13.2k,14k,15.9k,17.8k,19.3k,20.6k,21.8k,23.8k,27k,29.6k,32.4k,34.6k,43.5k,45.3k,46.7k,49k,52.6k,55.9k,59.3k,62.7k,65.6k,67.4k,70.3k,73.9k,78.4k,82.6k,86.1k,89.4k,94k,97.5k,101k,104k,105k,109k,107k,109k,111k,112k,120k,121k,120k,123k,120k,104k,97.1k,90.1k,77.7k,64.4k,58k,59.3k,62.6k,59.5k,57k,55.5k,55.6k,55.7k,57.2k,60.8k,62.1k,64.9k,64.3k,66.5k,62k,63.9k,62.9k,63.8k,64.5k,63.8k,59.3k,61k,62.8k,65.5k
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.3,25.7,25.7,29.3,29.3,29.3,29.3,29.3,40.3,40.3,44,36.7,69.7,62.3,84.3,84.3,80.7,121,103,136,121,143,158,147,154,176,176,198,216,209,191,183,172,172,172,191,205,227,249,301,312,407,356,378,374,378,308,389,370,348,396,447,433,433,392,422,444,477,436,587,539,601,477,513,495,579,568,567,575
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,58.7,106,91.7,84.3,110,136,139,147,136,158,176,158,150,202,180,202,213,224,198,227,231,253,425,444,458,469,455,425,462,436,389,396,451,444,451,422,572,645,781,502,539,462,539,532,532,528,524,521,513,517,528,557,561,583,583,653,730,649,477,609,444,367,510,649,557,612,618,622
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.67,11,11,7.33,14.7,44,73.3,69.7,44,55,66,84.3,128,106,136,147,139,169,161,169,205,290,495,462,513,539,788,931,1110,1000,917,950,1000,1040,1100,1210,1480,1510,1690,1890,2180,2550,2490,3060,3570,3460,3520,4060,4580,4480,5020,4730,4660,4780,4340,4280,4030,4110,3770,4020,4290,4970,5730,5980,6630,7800,8600,9810,9780,10.9k,10.9k,10.4k,11k,8570,10.3k,11k,11k,12.1k,14.9k,12.2k,13.1k,13.6k,14.9k,16k,18.5k,18.8k,20k,19.7k,21.2k,21.7k,22.3k
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2100,2510,2440,2620,2800,3210,3450,3600,3610,4200,4610,5600,6040,4110,3150,2880,2500,2320,3070,3650,2890,3780,4620,5110,5380,5480,6080,5930,6350,5520,4170,4170,4730,4630,5520,5150,6090,6100,5960,6490,6290,5870,6480,5900,6830,7470,8960,7860,7380,19.7k,21.7k,25k,25.2k,29.7k,34.1k,36.7k,36k,39.1k,39k,46.9k,49.2k,53.7k,55.6k,56.7k,56.4k,64.3k,66.1k,77.3k,84.2k,93.6k,102k,114k,132k,143k,151k,155k,162k,176k,187k,186k,171k,171k,166k,168k,180k,197k,206k,208k,212k,207k,217k,219k,229k,240k,256k,281k,297k,309k,317k,324k,333k,328k,318k,334k,342k,342k,357k,381k,360k,412k,430k,460k,495k,524k,496k,455k,464k,458k
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.67,3.67,7.33,3.67,3.67,3.67,3.67,0,0,0,0,3.67,0,0,0,0,0,0,0,3.67,3.67,3.67,73.3,110,88,110,114,128,128,136,150,150,172,194,260,191,180,205,268,337,440,480,429,484,502,480,491,568,532,590,631,601,675,686,645,686,748,847,917,943,946,990,1070,1200,976,1100,741,807,825,892,1100,1160,1150,1190,1200,1250,1270,1320,1340,1360,1610,1600,1470,1520,1460,1440,1250,1250,1270,1270,1280
Brunei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,3.67,44,25.7,77,205,216,2630,2960,1970,1250,1870,2500,920,946,5360,80.7,11.5k,414,301,323,345,359,301,297,293,319,326,334,304,370,356,341,334,491,440,429,488,8210,7520,9460,9980,8180,7080,6020,6400,9540,7440,6880,1470,2090,2710,1920,2600,2300,3320,5720,6350,6190,5310,5210,4970,4690,4790,4750,4940,5160,3810,4590,4390,4260,4470,4880,4870,4740,8320,9000,7750,8070,9550,9500,7630,8930,6960,7550,7600,7940
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.67,3.67,3.67,3.67,3.67,3.67,3.67,7.33,11,22,22,25.7,33,29.3,51.3,62.3,55,103,110,62.3,128,176,206,173,202,236,285,377,367,371,382,369,402,361,291,378,373,372,401,368,465,668,773,854,957,974,1150,1180,1210
Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,51.3,88,187,594,781,832,942,986,1010,1100,1030,1050,1160,1070,1240,1300,1430,2700,2640,2780,3200,3030,3050,2760,2800,3340,3160,3780,3850,3980,3830,3900,4100,4140,4230,4510,3860,4540,4030,5080,5670,6860,5430,6340,6920,6670
Central African Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,88,88,73.3,73.3,73.3,88,84.3,91.7,183,187,209,183,169,161,114,103,128,128,147,103,106,136,143,147,150,161,161,260,231,249,198,205,216,224,235,235,235,246,249,264,268,246,246,235,235,235,249,253,253,253,264,279,293,286,290,293,297,296,304
Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,25.7,33,40.3,47.7,58.7,69.7,84.3,103,125,150,180,216,264,315,381,458,561,704,843,1020,1240,1600,946,686,1220,1780,1850,1610,1620,1880,1860,2020,1940,2190,5240,5600,6620,7440,8610,8250,8800,10.2k,13.3k,11.3k,12.4k,14k,13.9k,14.9k,14.2k,13.5k,14.7k,14.8k,15.7k,19.2k,20.6k,23.9k,25.7k,28k,33.1k,35.4k,37.4k,47k,47.4k,45.4k,51.7k,60.3k,67.3k,79.3k,68.4k,61.2k,76.5k,85.3k,89.6k,76.2k,84.4k,80.5k,69.3k,93.1k,77.4k,75.3k,84.8k,92.1k,93.9k,99.1k,94.4k,75.9k,70.3k,69.5k,80k,78.9k,86.2k,93.6k,85.6k,95.1k,109k,120k,131k,138k,141k,131k,139k,144k,159k,145k,154k,163k,160k,161k,163k,170k,190k,183k,182k,185k,193k,194k,207k,211k,238k,252k,259k,282k,304k,307k,341k,353k,381k,382k,390k,397k,399k,408k,416k,442k,443k,430k,415k,409k,426k,422k,405k,431k,456k,463k,463k,453k,467k,467k,482k,495k,510k,525k,534k,549k,572k,565k,571k,588k,587k,577k,571k,595k,576k,544k,557k,567k,571k,578k,578k,577k,565k,572k,569k
Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147,205,304,425,469,469,572,697,689,675,770,744,898,1110,1280,1240,1170,1280,1500,1420,1360,1450,1670,1570,1730,1910,1970,2050,2090,2260,2310,2540,2880,3520,3470,2880,3590,3850,4210,4440,4750,5130,5680,5190,5240,5680,5970,6240,6900,8010,8010,8070,7800,8620,8770,9260,8430,8930,8490,6110,5750,4610,7240,4470,6160,7670,7240,7540,7460,8600,8970,10.3k,9570,10.1k,10.2k,9570,9560,9480,9930,10.5k,10.5k,11.9k,8320,6630,5850,6180,4460,1620,5770,9460,10.2k,8540,10.2k,12.3k,11.2k,10.3k,12.6k,13.6k,17.1k,17.7k,16.3k,16.6k,19.5k,20.4k,24.1k,29.1k,28.1k,30.4k,31.5k,32.5k,36k,38.1k,40.3k,41.9k,43k,46.2k,41.5k,39.1k,40.5k,41.1k,42.2k,39.9k,40.5k,38.8k,36.6k,40.1k,39.2k,39.8k,42.3k,40.2k,40.7k,39.4k,44.2k,46.2k,46.1k,43.6k,42.7k,43.4k,44.1k,43.1k,44.6k,44.5k,43.6k,45.1k,43.5k,44.7k,45.3k,45.8k,45.4k,43.4k,44.7k,43.6k,45.1k,41k,42.3k,43.2k,39.3k,38.8k,39.2k,38.2k,36.9k
Czechoslovakia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268,880,1500,2110,2730,3340,3960,4570,5190,5800,6420,7040,7650,8270,8880,9500,16.4k,17.2k,18.1k,19.4k,20.6k,21.7k,22.2k,23.7k,24.5k,25.8k,27.1k,28.4k,30.5k,32.3k,34.5k,35.8k,36.3k,37.1k,38.1k,39.5k,40.5k,42.8k,43.8k,44.9k,44.6k,46.6k,47.2k,48.1k,48.6k,50k,52.2k,54.9k,55.9k,55.6k,55k,55.7k,59.2k,62k,56.5k,56.4k,60k,56.4k,48.1k,45.4k,45.1k,43.3k,38.6k,40.8k,50.1k,47.2k,47.8k,51.3k,54k,60.4k,53.3k,49.9k,43.5k,39.7k,39.7k,40.9k,44.4k,53.8k,61.6k,67.7k,76.3k,76.8k,82.8k,91.5k,87.2k,46.3k,57.6k,65.4k,70.6k,74.3k,76.5k,81.5k,87.1k,90.3k,96.4k,100k,107k,112k,123k,123k,131k,142k,151k,159k,166k,161k,161k,160k,168k,178k,204k,214k,216k,217k,219k,230k,239k,246k,248k,242k,245k,242k,240k,240k,248k,245k,247k,245k,241k,233k,218k,201k,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,524,535,638,741,634,851,1570,1960,2160,1970,2080,2440,2180,2460,2350,2810,3110,3470,3360,2850,3070,3710,4030,3970,3890,2780,3340,2760,3050,4030,3800,3910,3880,3660,4020,3850,2930,2900,4100,4830,5120,5030,5280,5530,5010,5270,5570,5810,6120,6150,5650,5440,5710,6220,5880,8460,9990,10.6k,10.4k,11.1k,11.6k,11.8k,11.7k,12.5k,12.7k,13.5k,14.5k,16.7k,17.4k,17.5k,17.8k,18.8k,19.3k,21.2k,22.5k,24.7k,27.1k,28.2k,27.6k,25.9k,23k,24k,23k,22.9k,24.7k,25.1k,24.4k,20.5k,20.7k,22k,21.3k,22k,22.4k,26.6k,32k,32.9k,31.2k,32.2k,34.3k,37.8k,41.1k,47.7k,55.5k,56.9k,61k,58.2k,52.6k,54.5k,54.9k,59.1k,61k,64k,70.8k,70.9k,66k,71.4k,78.1k,79.8k,81.8k,77.5k,81.7k,84.2k,83.5k,85.9k
China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.3,,,95.3,1970,2090,2300,17.1k,16.9k,22.8k,20.9k,18.8k,27.9k,9790,10.8k,15.1k,16.1k,18k,19.9k,21.1k,24.3k,26.8k,25.3k,26.7k,32.2k,35.1k,33.2k,29.6k,33.6k,34.1k,35.8k,38k,40.3k,38.6k,42.3k,49.3k,57.7k,65.1k,60.6k,55.3k,67.2k,86.2k,108k,114k,97.4k,97.9k,50.4k,31.3k,33.6k,23.9k,59.4k,78.7k,102k,128k,134k,161k,191k,217k,257k,526k,721k,780k,551k,440k,436k,436k,475k,522k,433k,468k,576k,771k,875k,930k,966k,986k,1.14M,1.19M,1.31M,1.46M,1.49M,1.46M,1.44M,1.57M,1.66M,1.8M,1.95M,2.05M,2.19M,2.35M,2.39M,2.42M,2.54M,2.66M,2.84M,3.01M,3.27M,3.41M,3.42M,3.27M,3.26M,3.35M,3.43M,3.79M,4.46M,5.13M,5.78M,6.38M,6.87M,7.38M,7.77M,8.51M,9.4M,9.64M,9.8M,9.83M,9.72M,9.71M,9.85M,10.1M
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,499,546,462,554,587,623,763,1170,1240,1360,1600,1890,2240,2460,2710,2880,3250,3990,3960,4060,4820,5420,5570,3870,5560,4520,5140,6990,5580,7360,8810,8270,4790,4310,3850,5100,4140,6120,7340,7020,6590,5940,6470,7400,6960,5140,7340,7500,6820,6540,6600,5520,6070,6350,8350,9530,9750,9410,7880,7990,8400
Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139,183,282,202,231,235,238,257,279,279,271,282,290,301,337,312,345,458,506,572,638,810,861,898,975,1160,1090,1560,1990,1820,3890,5320,6320,6560,6060,6480,1990,1840,2160,7580,627,56.5,2730,2880,2840,3210,3600,3160,3140,3000,3350,3330,3330,3700,3850,3590,3760,5710,5430,6600,6670,6170,5880,4870,6650,7750,8000,8010,8140
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.67,7.33,80.7,161,216,172,238,231,282,304,389,249,51.3,3.67,18.3,33,40.3,103,121,88,77,103,143,220,172,172,312,326,374,477,1480,1750,2090,2290,2820,3390,3180,3330,2930,2700,2320,2360,2170,2290,1980,2470,2400,2290,3370,3650,2710,2960,3020,3190,3370,3240,3410,3480,3530,3740,3490,3760,3050,4000,3930,3610,3350,3820,3980,4360,4250,3140,2810,2660,1700,2110,2310,1880,1660,1320,894,769,851,1040,1150,1450,1550,1700,1810,1700,1960,2440,2360,3540,4640,2790,2000,1990,2040
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187,224,268,238,235,268,246,308,323,451,502,572,686,664,1220,1620,1100,1240,480,323,348,406,471,1340,1140,1140,1280,1060,1320,1490,1500,1180,1260,1560,1530,2140,1560,1710,2340,777,821,1050,766,576,917,950,972,1110,1200,1300,1730,1960,2240,2950,3210,3110,3150,3180,3180,3230
Cook Is,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,11,11,11,11,14.7,14.7,29.3,29.3,25.7,29.3,66,51.3,51.3,22,22,22,22,22,22,36.7,36.7,36.7,40.3,40.3,40.3,47.7,47.7,47.7,47.7,47.7,33,22,29.3,47.7,55,47.7,47.7,47.7,44,51.3,58.7,62.3,62.3,66,62.3,62.3,64,65.8
Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.3,143,187,198,444,847,825,1350,1290,653,330,80.7,535,737,2410,2790,2790,3010,4640,4170,3740,4170,3740,4750,4480,4970,5070,4490,5140,7510,8170,8640,10.8k,9630,12k,12.6k,13.7k,14k,16.1k,16.4k,18.2k,19.4k,21.3k,21.7k,22.9k,23.5k,24.7k,26.6k,28k,28.4k,30.3k,31.5k,33.7k,36.4k,35.8k,38k,39.3k,41.6k,44.3k,44.2k,44.3k,45.7k,49.2k,48.7k,48.1k,48.8k,50.2k,52.1k,52.8k,56.9k,56.7k,61.5k,63.4k,66.8k,58.8k,59.8k,64.5k,65.2k,54.8k,56.3k,56k,55.5k,57.1k,54.6k,60.1k,62.1k,61.5k,67.3k,72.6k,76.3k,76.1k,79.8k,91.9k,85.8k,93.2k,96.9k,93.2k,97.3k
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,11,11,11,11,14.7,18.3,18.3,18.3,18.3,29.3,29.3,29.3,29.3,29.3,33,40.3,40.3,29.3,22,47.7,47.7,47.7,47.7,47.7,47.7,44,47.7,51.3,51.3,62.3,66,66,69.7,69.7,73.3,77,80.7,88,91.7,103,103,103,132,143,139,161,103,106,132,161,136,143,176,154,169,202,212,219
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,77,36.7,18.3,22,22,29.3,18.3,14.7,18.3,22,22,18.3,14.6,29.3,25.6,22,18.3,29.3,36.6,36.6,36.6,51.3,62.3,66,77,73.3,80.7,209,249,121,33,36.7,36.7,84.3,84.3,58.7,80.7,73.3,80.7,95.3,99,106,110,114,121,143,147,158,183,216,235,275,308,330,440,473,506,469,524,557,616,506,499,491,495,543,605,629
Costa Rica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286,312,389,433,407,348,484,462,447,385,491,491,550,601,675,847,993,876,1040,1150,1250,1530,1760,2050,1910,2040,2080,2610,2910,2780,2450,2240,2070,2090,1980,2240,2580,2730,2910,2940,2910,3290,3740,3890,5200,4810,4690,4920,5240,5440,5400,5670,6230,6530,6800,6690,6970,7900,7920,7690,7430,7220,7180,7560,7680,7340,7850,7820,8070
