country,1750,1751,1752,1753,1754,1755,1756,1757,1758,1759,1760,1761,1762,1763,1764,1765,1766,1767,1768,1769,1770,1771,1772,1773,1774,1775,1776,1777,1778,1779,1780,1781,1782,1783,1784,1785,1786,1787,1788,1789,1790,1791,1792,1793,1794,1795,1796,1797,1798,1799,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,29.3,29.3,36.7,47.7,103,84.3,91.7,150,348,565,990,1260,462,425,374,330,429,708,403,466,491,407,143,106,293,84.3,147,249,249,275,286,286,282,268,264,271,268,275,293,308,319,330,345,348,370,403,422,429,444,469,480,510,524,513,524,524,528,546,557,562,566
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,279,510,356,400,268,422,697,895,733,642,601,693,708,869,891,829,931,1070,968,1460,2210,1770,2010,2430,2570,2910,2890,3040,3530,3430,3550,4010,4150,3970,4360,4590,4510,4980,5620,5790,10.2k,11.4k,11.4k,11.2k,11.6k,12.1k,14.4k,15.5k,16.8k,14.6k,17.5k,19.3k,20.8k,22.4k,24.5k,21.8k,19.3k,20.8k,23k,21.8k,25.8k,23.2k,24.4k,24.9k,27.1k,28.3k,27.9k,28.9k,26.3k,23.7k,22k,19.6k,20.4k,21.6k,22.7k,25.3k,27.1k,28.9k,28.1k,32.2k,29.1k,34.6k,36.5k,35k,34.2k,32.7k,35.5k,38k,38.5k,37.7k,54.8k,59.1k,60.3k,59.5k,67.9k,70.7k,73.1k,74.6k,77.7k,83.8k,88.2k,90.6k,94.9k,101k,109k,121k,120k,129k,135k,142k,148k,153k,157k,171k,172k,176k,174k,188k,202k,205k,221k,230k,234k,225k,237k,241k,240k,256k,261k,278k,279k,280k,285k,289k,294k,306k,313k,321k,335k,344k,350k,358k,363k,370k,384k,387k,393k,401k,405k,409k,407k,405k,407k,398k,394k,403k,413k,417k,421k
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169,,,,,,,,,,,,253,334,359,367,348,400,403,458,477,458,477,495,480,513,429,587,634,675,708,851,1060,1170,1320,1460,1270,1600,1800,2120,2080,2340,2260,2330,2340,2810,3230,3180,3700,4240,4880,7250,5870,6150,6380,6360,5880,5080,5360,3600,4920,6080,6490,7370,10.2k,10k,10.7k,9160,7870,8100,7290,7250,8870,23.7k,10.3k,10.6k,11.8k,11.5k,12.1k,11.4k,12.3k,12k,12.9k,13k,15k,14.5k,17.7k,18.1k,20.4k,21.3k,23k,24.5k,24.8k,27.7k,28.4k,25.7k,25.6k,26.9k,28.1k,33.6k,42.2k,59k,42.2k,57.6k,48.1k,50k,59.7k,48.9k,34.9k,8040,3450,3340,3020,14.5k,19.4k,18.6k,17.8k,20.1k,19k,18.6k,20.1k,21.2k,24.2k,18.9k,18.1k,15.2k,14.2k,13.8k,13.9k,13.6k,15.3k,5790,6340,7350,7980,8560,9620,9400,4570,12.8k,17.6k,24.5k,26.6k,20.9k,23.3k,22.1k,21.7k,24.5k,29.1k,28.2k,29.2k,28.1k,27.9k,30.8k,31.9k,33.9k,37k,38.9k,38.2k,39.2k,39.9k,42.3k,44.7k,50.7k,52.1k,56.1k,60.1k,57.3k,54.3k,58.3k,56k,57.3k,61.4k,52.1k,55.9k,53.6k,51.7k,54.3k,54.4k,53.8k,57.4k,53k,53.7k,62.4k,66k,60.5k,60.9k,61.2k,64.3k,67.7k,67.5k,67.1k,65.8k,66.4k,70.3k,72.2k,77.9k,78k,79.5k,77.1k,74.5k,73.8k,67.8k,72.3k,70.2k,67.6k,68.2k,64.5k,66.8k,67.4k,70k,68.9k
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.308,0.37,0.247,0.308,,,,,,,,,,,,,,,,,1.91,,,,,5.8,,,8.14,8.64,11.4,14.5,13.1,13.7,15.4,14.7,46.4,53.2,44.3,60.1,65.2,88,90.4,84.8,103,119,147,150,196,201,236,249,262,298,303,330,338,358,373,403,457,503,532,624,635,730,743,859,964,1120,1270,1300,1260,1230,1370,1220,1390,1560,1570,1660,1620,1680,1910,2070,1870,1720,1830,1680,671,573,523,567,692,764,910,898,1300,1620,1800,1940,2630,3160,3560,3980,4820,5450,6250,6390,6750,6830,8190,7190,4950,6320,5920,6270,7040,8480,9020,10.3k,11.4k,12.4k,13.3k,14k,15.3k,17.4k,19.1k,20.9k,22.3k,19.8k,20.6k,21.3k,22.3k,24k,25.5k,27.1k,28.6k,29.9k,30.8k,32.1k,33.7k,35.8k,37.7k,39.3k,40.8k,42.9k,44.6k,46.1k,47.7k,48.1k,50k,49.1k,50k,50.7k,51.2k,55.2k,55.3k,55.1k,56.6k,55.3k,51.7k,51k,56.2k,48.4k,42k,33.3k,31.3k,29.8k,31.7k,28.6k,29.5k,28.8k,29.7k,30.7k,32.1k,34.3k,39.1k,30.5k,35.5k,31.9k,30.7k,33k,35.1k,35.1k,36.8k,37.1k,37.2k,36.7k,36.8k
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,36.5,47.8,44,47.7,47.7,36.7,47.7,47.7,55,73.3,62.3,73.3,73.3,73.3,91.7,77,88,99,103,110,147,158,158,205,220,231,235,249,227,268,209,238,216,227,235,238,242,249,249,253,271,205,213,161,198,154,187,187,191,191,308,421,380,399,377,392,484,509,522
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6400,,,,,,,,,,,,,,,,,,,,,,,,,,,,6200,4470,4720,4570,4410,4760,5600,6000,6130,6710,7730,7400,7690,7120,7810,8230,8970,9330,8290,8740,9340,10.2k,11.4k,11.8k,13.1k,13.4k,13.2k,13.8k,14.5k,14.9k,15.2k,16.5k,16.4k,17.2k,18.1k,19.1k,20.5k,22.3k,20.1k,21.7k,24.8k,23.7k,25.6k,28.1k,25.9k,27k,26.3k,25.1k,27.3k,27.8k,30.5k,30.7k,32.5k,34.4k,33.9k,33.1k,32.1k,34k,36.1k,36.9k,39.9k,37.8k,37.8k,36.1k,39.9k,40.2k,42.3k,43.8k,45.1k,47.2k,49.7k,46.7k,48.9k,52.7k,50.4k,50.3k,57.5k,58.4k,57.9k,57.8k,61.3k,61.7k,64.8k,68.1k,40.6k,34.4k,45.8k,36.3k,33.8k,44.9k,55.2k,50.6k,56k,71.9k,76.3k,78.1k,77.7k,90.5k,88.3k,97k,93.8k,84.2k,67.8k,72.7k,75k,71.7k,75.1k,90.4k,79.2k,73.8k,62.2k,65.2k,61.1k,57.9k,33.2k,38.8k,56.5k,82.1k,85.1k,80.9k,76.3k,89.5k,83.5k,82.5k,85.8k,92.1k,96.9k,96.6k,87.8k,88.4k,91k,92.8k,98.1k,106k,104k,105k,105k,107k,119k,124k,126k,121k,131k,139k,135k,122k,130k,126k,136k,140k,135k,124k,117k,101k,105k,104k,102k,103k,99.8k,107k,121k,124k,123k,122k,125k,126k,130k,124k,130k,125k,127k,126k,126k,128k,129k,126k,124k,121k,120k,108k,114k,104k,102k,102k,96k,99.8k,98.5k,97.6k,99.7k
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,103,161,128,136,121,143,150,114,143,154,202,282,293,389,381,407,444,260,297,363,367,508,418,478,440,486,726,666,518,538,610,681,793,866,1090,1220,1270,1230,1200,1200,1540,1580,1790,2050,2330,2480,2370,3710,4320,4260,4510,4940,4890,4640,4890,5220,5870,6280,6910,7160
Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.67,7.33,44,91.7,84.3,88,110,103,103,103,103,121,143,150,161,169,205,220,209,249,348,407,433,557,576,594,466,477,480,517,554,821,583,627,631,627,645,624,705,803,858,915,1030,992,1000,1080,1100,1120,1360,1590,1740,1830,2040,2130,2620,2870,2910,3300,3380,3760,3900
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118,122,134,190,994,1230,1300,1320,1340,1380,1640,1690,1900,1840,2210,2290,2520,2900,2980,3120,3180,3370,3870,3750,3810,3610,3510,4550,4660,4860,5560,5790,5990,6620,7600,7890,8560,8190,9080,10.2k,11.4k,11.8k,13.5k,13.4k,14.1k,14.8k,15.4k,16.1k,17.6k,21.1k,21.5k,23.1k,23.2k,25.1k,26.5k,31.1k,32k,33.5k,36k,37.7k,41.7k,42.7k,45.3k,49.2k,54k,56.6k,60.7k,61.8k,66k,72.9k,76.1k,78.9k,85.8k
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,3.67,3.67,7.33,11,7.33,7.33,11,18.3,25.7,33,40.3,47.7,62.3,80.7,84.3,106,110,147,147,216,271,238,235,301,359,315,455,598,605,634,898,898,788,1180,763,924,1140,1420,836,1100,1370,1510,1610,1840,1810,1780,1820,2140,2490,2410,2280,2640,2350,2440,2480,2520,2790,3180,3490,4100,4430,5350,5820,4390,5210,4980,5910,6230,7460,7510,8170,9440,10.6k,11.4k,12.1k,13k,14.4k,15.6k,19.6k,22.3k,26k,30.7k,34.4k,42.9k,46.3k,48.8k,55.2k,59.5k,66.4k,61.2k,64.3k,66.1k,68.8k,71.2k,73k,73k,75.8k,81.3k,79k,77.3k,80.1k,89.9k,90.1k,87.1k,89.3k,91.2k,91.3k,86.9k,86.5k,76.6k,61.2k,57k,57.6k,56k,57.6k,58k,55.6k,53.2k,46.3k,45.2k,49k,46.2k,50.5k,49.5k,50.6k,51.9k,55.7k,54k,45.7k,47.8k,53.2k,48.3k,42.6k,45.1k,48.1k,45.3k,47.4k,44.5k
